key,응시년도,모의고사,문항번호,문장번호,문장
1,2023,11,18,1,My name is Michael Brown.
2,2023,11,18,2,I have been a bird-watcher since childhood.
3,2023,11,18,3,I have always enjoyed watching birds in my yard and identifying them by sight and sound. 
4,2023,11,18,4,"Yesterday, I happened to read an article about your club. "
5,2023,11,18,5,I was surprised and excited to find out about a community of passionate bird-watchers who travel annually to go birding. 
6,2023,11,18,6,"I would love to join your club, but your website appears to be under construction. "
7,2023,11,18,7,I could not find any information except for this contact email address. 
8,2023,11,18,8,I would like to know how to sign up for the club. I look forward to your reply.
9,2023,11,19,1,"Putting all of her energy into her last steps of the running race, Jamie crossed the finish line."
10,2023,11,19,2,"To her disappointment, she had failed to beat her personal best time, again."
11,2023,11,19,3,"Jamie had pushed herself for months to finally break her record, but it was all for nothing."
12,2023,11,19,4,"Recognizing how she felt about her failure, Ken, her teammate, approached her and said, “Jamie, even though you didn’t set a personal best time today, your performances have improved dramatically. Your running skills have progressed so much! You’ll definitely break your personal best time in the next race!”"
13,2023,11,19,5,"After hearing his comments, she felt confident about herself. "
14,2023,11,19,6,"Jamie, now motivated to keep pushing for her goal, replied with a smile. "
15,2023,11,19,7,"“You’re right! Next race, I’ll beat my best time for sure!”"
16,2023,11,20,1,At every step in our journey through life we encounter junctions with many different pathways leading into the distance.
17,2023,11,20,2,Each choice involves uncertainty about which path will get you to your destination.
18,2023,11,20,3,Trusting our intuition to make the choice often ends up with us making a suboptimal choice. 
19,2023,11,20,4,Turning the uncertainty into numbers has proved a potent way of analyzing the paths and finding the shortcut to your destination. 
20,2023,11,20,5,"The mathematical theory of probability hasn’t eliminated risk, but it allows us to manage that risk more effectively. "
21,2023,11,20,6,The strategy is to analyze all the possible scenarios that the future holds and then to see what proportion of them lead to success or failure. 
22,2023,11,20,7,This gives you a much better map of the future on which to base your decisions about which path to choose.
23,2023,11,21,1,"Coming of age in the 18th and 19th centuries, the personal diary became a centerpiece in the construction of a modern subjectivity, at the heart of which is the application of reason and critique to the understanding of world and self, which allowed the creation of a new kind of knowledge. "
24,2023,11,21,2,Diaries were central media through which enlightened and free subjects could be constructed. 
25,2023,11,21,3,"They provided a space where one could write daily about her whereabouts, feelings, and thoughts. "
