번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
1;provide;일상 및 여가 생활;동;제공하다, 공급하다, 준비하다;The company will provide assistance to those in need.;;;;;;;일상 생활
2;develop;일상 및 여가 생활;동;개발하다, 발달하다, 발전시키다;Scientists are working hard to develop a cure for the disease.;;;;;;;과학과 기술
3;service;일상 및 여가 생활;명;서비스, 근무, 봉사, 공공 업무;Good customer service is crucial for retaining clients.;;;;;;;국제 및 지역
4;inform;일상 및 여가 생활;동;알리다, 통지하다;Please inform me of any changes to the schedule.;;;;;;;국제 및 지역
5;relationship;기타;명;관계;Building a strong relationship takes time and effort.;;;;;;;인간과 사회
6;improve;건강과 의료;동;향상시키다, 나아지다, 향상하다;Regular exercise can improve overall health.;;;;;;;국제 및 지역
7;individual;일상 및 여가 생활;형;개인의, 개인적인;Each person has their own individual preferences.;명;개인;An individual's success is often influenced by their determination.;;;;국제 및 지역
8;require;일상 및 여가 생활;동;요구하다, 필요로 하다;The job will require candidates to have excellent communication skills.;;;;;;;국제 및 지역
9;advise;일상 및 여가 생활;동;충고하다, 조언하다;I would advise you to consider all your options before making a decision.;;;;;;;국제 및 지역
10;social;문화와 예술;형;사회의, 사교적인;Participating in social activities can improve mental well-being.;;;;;;;국제 및 지역
11;amount;경제, 금융 및 산업;명;총액, 총계, 양;A large amount of money was spent on the project.;동;총계가 ~이 되다;The total amount of goods produced this month is higher than expected.;;;;국제 및 지역
12;behave;일상 및 여가 생활;동;행동하다;It's important to behave respectfully towards others.;;;;;;;국제 및 지역
13;employ;문화와 예술;동;고용하다, 쓰다;The company plans to employ new staff next quarter.;;;;;;;국제 및 지역
14;attitude;음식과 요리;명;태도, 입장;Having a positive attitude can greatly impact one's success.;;;;;;;인간과 사회
15;research;과학과 기술;명;연구하다, 조사하다;Recent research suggests that exercise can improve cognitive function.;;;;;;;국제 및 지역
16;audience;일상 및 여가 생활;명;청중, 관객;The comedian entertained the audience with his jokes.;;;;;;;국제 및 지역
17;volunteer;일상 및 여가 생활;명;지원자, 자원봉사, 자원봉사자;Many volunteers came forward to help clean up the park.;동;지원하다, 자원봉사하다;She volunteered to assist with the charity event.;;;;국제 및 지역
18;influence;일상 및 여가 생활;명;영향, 영향을 미치는 것[사람];Parents have a significant influence on their children's development.;동;영향을 미치다;Her speech influenced the audience's opinion on the matter.;;;;국제 및 지역
19;terrible;일상 및 여가 생활;형;끔직한, 형편없는, 무서운;The accident left a terrible impact on the community.;;;;;;;국제 및 지역
20;opportunity;교육과 학습;명;기회;Don't miss out on this great opportunity to learn new skills.;;;;;;;국제 및 지역
21;ability;교육과 학습;명;능력, 재능;His ability to learn quickly impressed his colleagues.;;;;;;;국제 및 지역
22;expense;경제, 금융 및 산업;명;비용, 지출;The business incurred significant expenses during the expansion phase.;;;;;;;국제 및 지역
23;local;경제, 금융 및 산업;형;지역의, 장소의, 지방의;Local businesses play a vital role in supporting the community.;;;;;;;인간과 사회
24;involve;문화와 예술;동;관련시키다, 포함하다, 관련되다;The project will involve collaboration with international partners.;;;;;;;과학과 기술
25;stress;건강과 의료;명;스트레스, 긴장, 강조;High levels of stress can negatively impact one's health.;동;강조하다, 압력을 주다;It's important to stress the importance of safety measures in the workplace.;;;;건강과 웰빙
26;therefore;교육과 학습;부;그러므로, 그 결과;"She didn't study enough; therefore, she failed the exam.";;;;;;;국제 및 지역
27;positive;일상 및 여가 생활;형;긍정적인, 낙관적인, 확신하는;Maintaining a positive attitude can lead to better outcomes.;;;;;;;국제 및 지역
28;average;문화와 예술;형;평균의, 보통의;The company's performance was below average this quarter.;명;평균, 보통 수준;The average of the test scores was higher than expected.;동;평균 ~이다;His income is above average for someone in his profession.;국제 및 지역
29;ride;일상 및 여가 생활;동;타다;The children enjoyed the thrilling ride at the amusement park.;;;;;;;국제 및 지역
30;encourage;일상 및 여가 생활;동;격려하다, 권장하다, 부추기다, 촉구하다;Parents should encourage their children to pursue their passions.;;;;;;;국제 및 지역
31;determine;일상 및 여가 생활;동;결정하다, 결심하다;It's important to determine the root cause of the problem before taking action.;;;;;;;인간과 사회
32;international;일상 및 여가 생활;형;국제의, 국제적인;The company has offices in several international locations.;;;;;;;국제 및 지역
33;consume;건강과 의료;동;소비하다, 먹다[마시다];It's important to consume a balanced diet for good health.;;;;;;;국제 및 지역
34;impress;일상 및 여가 생활;동;감동시키다, 깊은 인상을 주다;Her performance in the interview impressed the hiring manager.;;;;;;;국제 및 지역
35;object;일상 및 여가 생활;명;물건, 물체, 목표;He found a mysterious object buried in the sand.;동;반대하다;She didn't object to the proposal during the meeting.;;;;국제 및 지역
36;available;교육과 학습;형;이용할 수 있는, 쓸모있는, 시간이 있는;There are many available resources for learning online.;;;;;;;국제 및 지역
37;contain;일상 및 여가 생활;동;들어있다, 포함하다, 함유하다, 억제하다;The bottle contains a liquid solution for cleaning wounds.;;;;;;;과학과 기술
38;recognize;일상 및 여가 생활;동;인지하다 , 인정하다, 알아보다;She was recognized for her outstanding contributions to the community.;;;;;;;인간과 사회
39;material;문화와 예술;명;재료, 소재, 물질;The store sells a variety of materials for art projects.;형;물질의;The material used in the construction is of high quality.;;;;국제 및 지역
40;comfort;일상 및 여가 생활;명;편안, 평안함, 위안, 위로;The soft cushions provide extra comfort for long flights.;동;편안하게 하다, 위로하다;Her words of comfort helped him through a difficult time.;;;;국제 및 지역
41;emotion;일상 및 여가 생활;명;감정;Expressing your emotions can help alleviate stress.;;;;;;;국제 및 지역
42;amaze;일상 및 여가 생활;동;놀라게 하다;The magician's tricks never fail to amaze the audience.;;;;;;;인간과 사회
43;reduce;건강과 의료;동;줄이다, 낮추다;Regular exercise can help reduce the risk of heart disease.;;;;;;;국제 및 지역
44;discover;일상 및 여가 생활;동;발견하다, 알아내다;Scientists recently discovered a new species of butterfly.;;;;;;;국제 및 지역
45;decide;일상 및 여가 생활;동;결정하다, 결심하다;It's important to carefully decide which path to take in life.;;;;;;;인간과 사회
46;benefit;건강과 의료;명;이익, 혜택;Regular exercise has many health benefits.;동;도움이 되다;The new policy will benefit employees by providing more flexibility.;;;;비즈니스와 경제
47;affect;음식과 요리;동;영향을 미치다;The weather can affect our mood.;;;;;;;국제 및 지역
48;level;일상 및 여가 생활;명;수준, 정도, 수평;The water level in the river rose after heavy rainfall.;형;수평의;Make sure the picture frame is level before hanging it on the wall.;;;;국제 및 지역
49;chemistry;과학과 기술;명;화학;The students conducted experiments in their chemistry class.;;;;;;;국제 및 지역
50;immediate;건강과 의료;형;즉각적인, 시급한, 직접적인;The patient needs immediate medical attention.;;;;;;;국제 및 지역
51;thus;교육과 학습;부;그러므로, 따라서;"He didn't study for the exam; thus, he failed.";;;;;;;국제 및 지역
52;proper;일상 및 여가 생활;형;적절한, 알맞은;It's important to follow proper safety procedures.;;;;;;;인간과 사회
53;performance;음악과 엔터테인먼트;명;공연, 성과;The musician's performance received a standing ovation.;;;;;;;국제 및 지역
54;essence;일상 및 여가 생활;명;본질, 정수;The essence of the argument lies in its core principles.;;;;;;;국제 및 지역
55;economic;정치, 법률 및 사회;형;경제의, 경제학의;The government is implementing new economic policies to stimulate growth.;;;;;;;국제 및 지역
56;cell;일상 및 여가 생활;명;세포;Each cell in the human body has a specific function.;;;;;;;국제 및 지역
57;focus;일상 및 여가 생활;동;집중하다;It's important to focus on the task at hand to achieve success.;명;초점;The camera automatically adjusts the focus to capture clear images.;;;;국제 및 지역
58;issue;정치, 법률 및 사회;명;논란거리, 쟁점, 문제;The government needs to address the issue of unemployment.;;;;;;;국제 및 지역
59;participate;문화와 예술;동;참여하다, 참가하다(in);Many students choose to participate in extracurricular activities.;;;;;;;국제 및 지역
60;demand;경제, 금융 및 산업;명;요구, 수요;There is a high demand for skilled workers in the tech industry.;동;요구하다;The protesters demand justice for the victims.;;;;국제 및 지역
61;occur;일상 및 여가 생활;동;발생하다, 일어나다, (생각이) 떠오르다;The accident occurred at the intersection of two busy streets.;;;;;;;일상 생활
62;complex;일상 및 여가 생활;형;복잡한;The problem is too complex to be solved easily.;명;복잡체, 복합 건물;The apartment complex offers various amenities for residents.;;;;국제 및 지역
63;define;문화와 예술;동;정의하다, 한계 짓다, 한정하다, 규정하다;It's important to define the scope of the project before starting.;;;;;;;국제 및 지역
64;proud;일상 및 여가 생활;형;자랑스러워하는;She felt proud of her son's academic achievements.;;;;;;;국제 및 지역
65;aware;일상 및 여가 생활;형;인지하는, 인식하고 있는, 알고 있는;It's important to be aware of your surroundings for safety.;;;;;;;국제 및 지역
66;contact;일상 및 여가 생활;동;연락하다;Please contact me if you have any further questions.;명;접촉, 연락;Direct contact with the skin may cause irritation.;;;;국제 및 지역
67;profession;건강과 의료;명;직업, 직종, 전문직;He decided to pursue a profession in medicine.;;;;;;;비즈니스와 경제
68;detail;경제, 금융 및 산업;명;세부, 세부사항;The report provides detailed information about the company's finances.;동;상술하다;He carefully detailed his plans for the project.;;;;국제 및 지역
69;approach;스포츠;동;접근하다;The coach's approach to training focuses on teamwork and discipline.;명;접근;Each approach has its own advantages and disadvantages.;;;;국제 및 지역
70;career;일상 및 여가 생활;명;직업, 경력;She's considering a career change to pursue her passion for cooking.;;;;;;;비즈니스와 경제
71;package;일상 및 여가 생활;명;꾸러미, 포장, 포장된 짐;The package arrived at the doorstep early in the morning.;동;포장하다;She carefully packaged the fragile items before shipping them.;;;;국제 및 지역
72;disappear;일상 및 여가 생활;동;사라지다;The magician made the rabbit disappear in front of the audience.;;;;;;;국제 및 지역
73;novel;일상 및 여가 생활;명;소설;She enjoys reading mystery novels in her free time.;;;;;;;국제 및 지역
74;secure;일상 및 여가 생활;형;안전한, 안정된;The password must be secure to prevent unauthorized access.;동;안전하게 하다;She secured the door before going to bed.;;;;국제 및 지역
75;fashion;일상 및 여가 생활;명;유행, 패션, 방식;She follows the latest fashion trends closely.;동;만들어 내다;The designer plans to fashion a new line of clothing for the upcoming season.;;;;국제 및 지역
76;despite;일상 및 여가 생활;;;;;;;;;;국제 및 지역
77;background;경제, 금융 및 산업;명;(그림, 사람, 사건)배경, 배경 지식;Her background in finance helped her excel in her career.;;;;;;;국제 및 지역
78;solution;음식과 요리;명;해결, 해결책;Finding a solution to the problem requires creative thinking.;;;;;;;국제 및 지역
79;generate;일상 및 여가 생활;동;일으키다, 발생시키다;The wind turbines generate electricity for the entire town.;;;;;;;국제 및 지역
80;eventually;일상 및 여가 생활;부;결국;Eventually, all your hard work will pay off.;;;;;;;국제 및 지역
81;decrease;건강과 의료;동;줄이다[감소하다], 줄이다;Regular exercise can help decrease stress levels.;명;감소;There was a noticeable decrease in sales this quarter.;;;;국제 및 지역
82;recycle;기타;동;재활용하다;It's important to recycle paper to help protect the environment.;;;;;;;국제 및 지역
83;desire;일상 및 여가 생활;명;욕구, 욕망;Her desire for success drives her to work hard every day.;동;바라다;He desires a peaceful resolution to the conflict.;;;;국제 및 지역
84;balance;일상 및 여가 생활;명;균형, 은행 잔고;Maintaining a balance between work and personal life is essential for happiness.;동;균형을 이루다;She strives to balance her academic and social commitments.;;;;국제 및 지역
85;negative;일상 및 여가 생활;형;부정적인;She received negative feedback on her performance.;;;;;;;국제 및 지역
86;follow;일상 및 여가 생활;동;따라가다,  (규칙을) 따르다;The dog followed its owner obediently.;;;;;;;국제 및 지역
87;account;경제, 금융 및 산업;명;은행 계좌, 이야기, 설명;He opened a savings account to save money for his future.;동;설명하다;She gave a detailed account of what happened during the meeting.;;;;인간과 사회
88;publish;일상 및 여가 생활;동;발표하다, 출판하다;The author plans to publish a new book next year.;;;;;;;국제 및 지역
89;occasion;일상 및 여가 생활;명;경우, 특별한 일;We celebrate special occasions with our friends and family.;;;;;;;국제 및 지역
90;replace;일상 및 여가 생활;동;대체하다;They decided to replace the old furniture with new pieces.;;;;;;;국제 및 지역
91;constant;일상 및 여가 생활;형;일정한, 불변의;The only constant in life is change.;명;(수학에서의) 상수;The value of pi is a constant in mathematics.;;;;국제 및 지역
92;expert;건강과 의료;명;전문가;She sought advice from an expert in the field of medicine.;;;;;;;국제 및 지역
93;term;문화와 예술;명;용어, 기간, 학기;"The term ""global warming"" refers to the increase in Earth's temperature.";;;;;;;국제 및 지역
94;relieve;일상 및 여가 생활;동;경감하다, 안도시키다;Massage therapy can help relieve muscle tension.;;;;;;;국제 및 지역
95;describe;일상 및 여가 생활;동;묘사하다, 표현하다;She described the scene in vivid detail.;;;;;;;국제 및 지역
96;biology;교육과 학습;명;생물학;The study of biology involves understanding living organisms and their interactions.;;;;;;;국제 및 지역
